A 	2,1,0,0
A 	2,1,0,4
A 	2,4,0,4
A# 	3,2,1,1
A#7 	1,2,1,1
A#9 	3,2,1,3
A#aug 	3,2,2,1
A#dim 	3,1,0,1
A#dim 	3,1,0,4
A#dim 	3,4,0,4
A#dim7 	0,1,0,1
A#dim7 	3,4,3,4
A#m 	3,1,1,1
A#m 	3,1,1,4
A#m7 	1,1,1,1
A#m7b5 	1,1,0,1
A#m7b5 	3,4,4,4
A#maj7 	2,2,1,1
A#maj7 	3,2,1,0
A#sus 	3,3,1,1
A5 	2,4,0,0
A7 	0,1,0,0
A7 	2,4,3,4
A9 	2,1,0,2
A9 	4,1,0,0
Aaug 	2,1,1,0
Aaug 	2,1,1,4
Adim7 	2,3,2,3
Am 	2,0,0,0
Am 	2,0,0,3
Am 	2,4,0,3
Am7 	0,0,0,0
Am7 	2,4,3,3
Am7b5 	2,3,3,3
Amaj7 	1,1,0,0
Amaj7 	2,4,4,4
Asus 	2,2,0,0
B 	4,3,2,2
B7 	2,3,2,2
B7 	4,3,2,0
B9 	4,3,2,4
Baug 	0,3,3,2
Baug 	4,3,3,2
Bdim 	4,2,1,2
Bdim7 	1,2,1,2
Bm 	4,2,2,2
Bm7 	2,2,2,2
Bm7 	4,2,2,0
Bm7b5 	2,2,1,2
Bm7b5 	4,2,1,0
Bmaj7 	3,3,2,2
Bmaj7 	4,3,2,1
Bsus 	4,4,2,2
C 	0,0,0,3
C 	0,4,0,3
C 	0,4,3,3
C# 	1,1,1,4
C#5 	1,1,4,4
C#7 	1,1,1,2
C#9 	1,3,1,4
C#dim 	0,1,0,4
C#dim 	0,4,0,4
C#dim 	0,4,3,4
C#m 	1,1,0,4
C#m 	1,4,0,4
C#m 	1,4,4,4
C#m7 	1,1,0,2
C#m7 	4,4,4,4
C#m7b5 	0,1,0,2
C#m7b5 	4,4,3,4
C#maj7 	1,0,1,4
C#maj7 	1,1,1,3
C#sus 	1,1,2,4
C5 	0,0,3,3
C7 	0,0,0,1
C7 	3,4,3,3
C9 	0,2,0,3
Caug 	1,0,0,3
Caug 	1,4,0,3
Caug 	1,4,4,3
Cm 	0,3,3,3
Cm7 	3,3,3,3
Cm7b5 	3,3,2,3
Cmaj7 	0,0,0,2
Cmaj7 	4,4,3,3
Csus 	0,0,1,3
D 	2,2,2,0
D# 	0,3,3,1
D# 	3,3,3,1
D#7 	3,3,3,4
D#9 	0,3,1,1
D#dim 	2,3,2,0
D#m 	3,3,2,1
D#m7 	3,3,2,4
D#m7b5 	2,3,2,4
D#sus 	1,3,4,1
D#sus 	3,3,4,1
D7 	2,2,2,3
Dm 	2,2,1,0
Dm7 	2,2,1,3
Dm7b5 	1,2,1,3
Dmaj7 	2,2,2,4
Dsus 	0,2,3,0
Dsus 	2,2,3,0
E 	1,4,0,2
E 	1,4,4,2
E 	4,4,4,2
E5 	4,4,0,2
E7 	1,2,0,2
E9 	1,4,2,2
Edim 	0,4,0,1
Edim 	0,4,3,1
Edim 	3,4,3,1
Em 	0,4,0,2
Em 	0,4,3,2
Em 	4,4,3,2
Em7 	0,2,0,2
Em7b5 	0,2,0,1
Emaj7 	1,3,0,2
Esus 	2,4,0,2
Esus 	4,4,0,0
F 	2,0,1,0
F 	2,0,1,3
F# 	3,1,2,1
F# 	3,1,2,4
F#7 	3,4,2,4
F#9 	1,1,2,1
F#dim 	2,0,2,0
F#dim 	2,0,2,3
F#m 	2,1,2,0
F#m 	2,1,2,4
F#m7 	2,4,2,4
F#m7b5 	2,4,2,3
F#sus 	4,1,2,2
F#sus 	4,1,2,4
F7 	2,3,1,3
F9 	0,0,1,0
Fm 	1,0,1,3
Fm7 	1,3,1,3
Fm7b5 	1,3,1,2
Fmaj7 	2,4,1,3
Fsus 	3,0,1,1
Fsus 	3,0,1,3
G 	0,2,3,2
G 	4,2,3,2
G# 	1,3,4,3
G#7 	1,3,2,3
G#9 	3,3,4,3
G#dim 	1,2,4,2
G#dim 	4,2,4,2
G#m 	1,3,4,2
G#m 	4,3,4,2
G#m7 	1,3,2,2
G#m7b5 	1,2,2,2
G#maj7 	0,3,4,3
G#maj7 	1,3,3,3
G#sus 	1,3,4,4
G7 	0,2,1,2
G9 	2,2,3,2
G9 	4,2,3,0
Gdim 	0,1,3,1
Gdim 	3,1,3,1
Gdim 	3,1,3,4
Gm 	0,2,3,1
Gm 	3,2,3,1
Gm7 	0,2,1,1
Gm7b5 	0,1,1,1
Gmaj7 	0,2,2,2
Gsus 	0,2,3,3
